"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ESM STAGE 
"
168,"SOMICONVEY","Somi Conveyor Beltings Limited","INE323J01019","ESM - I (34)"
169,"SONAMLTD","Sonam Limited","INE00LM01011","ESM - I (34)"
170,"SPENTEX","Spentex Industries Limited","INE376C01020","ESM I & GSM 0 (36)"
171,"SPMLINFRA","Spml Infra Limited","INE937A01023","ESM - II (35)"
172,"SPYL","Shekhawati Poly-Yarn Limited","INE268L01020","ESM - II (35)"
173,"SRPL","Shree Ram Proteins Limited","INE008Z01020","ESM - II (35)"
174,"SUMIT","Sumit Woods Limited","INE748Z01013","ESM - I (34)"
175,"SUNDARAM","Sundaram Multi Pap Limited","INE108E01023","ESM - I (34)"
176,"SUPERSPIN","Super Spinning Mills Limited","INE662A01027","ESM - I (34)"
177,"SUPREMEINF","Supreme Infrastructure India Limited","INE550H01011","ESM - II (35)"
178,"SUULD","Suumaya Industries Limited","INE591Q01016","ESM - II (35)"
179,"SVPGLOB","Svp Global Textiles Limited","INE308E01029","ESM - II (35)"
180,"TARAPUR","Tarapur Transformers Limited","INE747K01017","ESM II & GSM 0 (37)"
181,"TCLCONS","Tantia Constructions Limited","INE388G01026","ESM - II (35)"
182,"TECILCHEM","Tecil Chemicals And Hydro Power Limited","INE014B01011","ESM II & GSM 0 (37)"
183,"TFL","Transwarranty Finance Limited","INE804H01012","ESM - I (34)"
184,"TGBHOTELS","Tgb Banquets And Hotels Limited","INE797H01018","ESM - II (35)"
185,"THOMASCOTT","Thomas Scott (India) Limited","INE480M01011","ESM - II (35)"
186,"TIL","Til Limited","INE806C01018","ESM - II (35)"
187,"TIRUPATIFL","Tirupati Forge Limited","INE319Y01024","ESM - II (35)"
188,"TPHQ","Teamo Productions Hq Limited","INE065J01016","ESM - I (34)"
189,"TREJHARA","Trejhara Solutions Limited","INE00CA01015","ESM - II (35)"
190,"TVVISION","Tv Vision Limited","INE871L01013","ESM - II (35)"
191,"UMESLTD","Usha Martin Education & Solutions Limited","INE240C01028","ESM II & GSM 0 (37)"
192,"UNIINFO","Uniinfo Telecom Services Limited","INE481Z01011","ESM - II (35)"
193,"V2RETAIL","V2 Retail Limited","INE945H01013","ESM - I (34)"
194,"VARDMNPOLY","Vardhman Polytex Limited","INE835A01011","ESM - I (34)"
195,"VASWANI","Vaswani Industries Limited","INE590L01019","ESM - I (34)"
196,"VIKASECO","Vikas Ecotech Limited","INE806A01020","ESM - I (34)"
197,"VINNY","Vinny Overseas Limited","INE01KI01027","ESM - I (34)"
198,"VISESHINFO","Visesh Infotecnics Limited","INE861A01058","ESM - II (35)"
199,"WALCHANNAG","Walchandnagar Industries Limited","INE711A01022","ESM - I (34)"
200,"WANBURY","Wanbury Limited","INE107F01022","ESM - II (35)"
201,"WEL","Wonder Electricals Limited","INE02WG01016","ESM - I (34)"
202,"WEWIN","We Win Limited","INE082W01014","ESM - II (35)"
203,"WINSOME","Winsome Yarns Limited","INE784B01035","ESM - I (34)"
204,"WSI","W S Industries (I) Limited","INE100D01014","ESM - II (35)"
205,"ZEELEARN","Zee Learn Limited","INE565L01011","ESM - II (35)"
206,"ZENITHSTL","Zenith Steel Pipes & Industries Limited","INE318D01020","ESM - II (35)"
