ticker,price_change
JUBLINGREA,0.00996
VALIANTORG,0.00996
HNDFDS,0.01029
PKTEA,0.01085
DLINKINDIA,0.01091
FEDERALBNK,0.01123
HARIOMPIPE,0.01128
DCM,0.01151
DREAMFOLKS,0.01159
MAWANASUG,0.0119
NAGAFERT,0.0121
BANARISUG,0.01259
ARVEE,0.01304
CRAFTSMAN,0.01308
NESTLEIND,0.01314
HEXATRADEX,0.01338
HEIDELBERG,0.01358
SECURCRED,0.01375
SRF,0.01396
SINTERCOM,0.01416
SBFC,0.0142
RCF,0.0143
GATECH,0.01444
SUPRAJIT,0.01454
GNFC,0.01457
IGL,0.01486
SPORTKING,0.01526
FMGOETZE,0.01527
GOKUL,0.01543
BERGEPAINT,0.0157
CARBORUNIV,0.01598
SUVENPHAR,0.01603
AHL,0.01637
WILLAMAGOR,0.01638
LIKHITHA,0.01656
CINELINE,0.01657
BSL,0.01661
ABFRL,0.01667
JOCIL,0.01667
AXISBANK,0.01704
AKSHOPTFBR,0.01728
SBICARD,0.01744
ASHOKLEY,0.01797
KUANTUM,0.01824
HIL,0.01859
INDIAMART,0.01878
EQUIPPP,0.0189
CENTURYPLY,0.0189
SPLIL,0.01908
YASHO,0.01912
HEG,0.01918
DIVISLAB,0.01918
BAJAJFINSV,0.0192
INDUSINDBK,0.0192
WENDT,0.01933
AMRUTANJAN,0.01976
PGHL,0.02035
SURAJEST,0.02039
ADANIENSOL,0.02043
UNIVCABLES,0.02063
KANSAINER,0.02083
NAZARA,0.02086
TATACOMM,0.02103
DPWIRES,0.02133
GULPOLY,0.02142
TAINWALCHM,0.02174
SIYSIL,0.02177
BODALCHEM,0.02207
NGIL,0.02231
KAUSHALYA,0.02264
SICALLOG,0.02265
LXCHEM,0.02268
MEP,0.02293
APLAPOLLO,0.02303
NOCIL,0.02323
SOUTHWEST,0.02381
EXXARO,0.02398
HINDWAREAP,0.02427
ASIANHOTNR,0.02427
TNPETRO,0.02427
GLOBE,0.02439
MUKANDLTD,0.02443
ARSHIYA,0.02447
TATAELXSI,0.02449
DEVIT,0.02451
M&MFIN,0.02461
SESHAPAPER,0.02479
NFL,0.02503
PIDILITIND,0.02506
JKLAKSHMI,0.0256
ABMINTLLTD,0.02592
MARICO,0.02598
UFLEX,0.02605
EXPLEOSOL,0.0263
GROBTEA,0.02639
TOUCHWOOD,0.0264
KOHINOOR,0.02658
SAIL,0.02665
SCPL,0.02673
INDORAMA,0.02685
IIFL,0.02694
PALASHSECU,0.02722
ASPINWALL,0.02738
SMSLIFE,0.0284
CHEVIOT,0.02855
AKSHARCHEM,0.02862
ELDEHSG,0.02925
SYRMA,0.02935
FOODSIN,0.02942
LINC,0.02944
PEL,0.02952
JAMNAAUTO,0.02959
STEELCITY,0.0297
MUTHOOTFIN,0.02982
MAYURUNIQ,0.02987
RANASUG,0.03
CYBERMEDIA,0.03041
IVC,0.03068
SMLT,0.03071
UNOMINDA,0.03079
DANGEE,0.03082
TFL,0.03084
EVERESTIND,0.0309
ENDURANCE,0.0313
LYKALABS,0.03134
AARTISURF,0.03137
CLSEL,0.03167
GILLANDERS,0.03171
ROML,0.03184
GOCOLORS,0.03204
BHARATFORG,0.03216
TECHM,0.03219
PDSL,0.03261
SUMEETINDS,0.03278
TRIVENI,0.03281
RADAAN,0.03286
ROTO,0.03323
TMB,0.03323
TANLA,0.03353
CSBBANK,0.03431
AMBIKCO,0.03433
GILLETTE,0.03435
MEDPLUS,0.03459
KREBSBIO,0.03484
HONDAPOWER,0.03485
UMESLTD,0.03501
KANPRPLA,0.03501
ROSSELLIND,0.03511
JINDALSTEL,0.03533
SWARAJENG,0.03543
TRACXN,0.03546
