"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ASM STAGE 
"
"Long Term",,,,
183,"SINDHUTRAD","Sindhu Trade Links Limited","INE325D01025","LTASM - I (13)"
184,"SKYGOLD","Sky Gold Limited","INE01IU01018","LTASM - IV (16)"
185,"SMLISUZU","SML Isuzu Limited","INE294B01019","LTASM - I (13)"
186,"SMSLIFE","SMS Lifesciences India Limited","INE320X01016","LTASM - I (13)"
187,"SMSPHARMA","SMS Pharmaceuticals Limited","INE812G01025","LTASM - I (13)"
188,"SOBHA","Sobha Limited","INE671H01015","LTASM - I (13)"
189,"SOLEX","Solex Energy Limited","INE880Y01017","LTASM - I (13)"
190,"SOMATEX","Soma Textiles & Industries Limited","INE314C01013","LTASM - II (14)"
191,"SONAMLTD","SONAM LIMITED","INE00LM01011","LTASM - I (13)"
192,"SPECTRUM","Spectrum Electrical Industries Limited","INE01EO01010","LTASM - I (13)"
193,"SUNDARMHLD","Sundaram Finance Holdings Limited","INE202Z01029","LTASM - I (13)"
194,"SURANI","Surani Steel Tubes Limited","INE01ZJ01015","LTASM - I (13)"
195,"SURYAROSNI","Surya Roshni Limited","INE335A01020","LTASM - I (13)"
196,"SUZLON","Suzlon Energy Limited","INE040H01021","LTASM - IV (16)"
197,"SWANENERGY","Swan Energy Limited","INE665A01038","LTASM - I (13)"
198,"SWELECTES","Swelect Energy Systems Limited","INE409B01013","LTASM - I (13)"
199,"TAKE","Take Solutions Limited","INE142I01023","LTASM - I (13)"
200,"TALBROAUTO","Talbros Automotive Components Limited","INE187D01029","LTASM - II (14)"
201,"TAPIFRUIT","Tapi Fruit Processing Limited","INE0M7001010","LTASM - I (13)"
202,"TARC","Anant Raj Global Limited","INE0EK901012","LTASM - IV (16)"
203,"TARC","TARC Limited","INE0EK901012","LTASM - IV (16)"
204,"TATAINVEST","Tata Investment Corporation Limited","INE672A01018","LTASM - IV (16)"
205,"TATAMTRDVR","Tata Motors Limited","IN9155A01020","LTASM - I (13)"
206,"TECHLABS","Trident Techlabs Limited","INE0QD201012","LTASM - I (13)"
207,"TEXMOPIPES","Texmo Pipes and Products Limited","INE141K01013","LTASM - I (13)"
208,"TEXRAIL","Texmaco Rail & Engineering Limited","INE621L01012","LTASM - I (13)"
209,"TFCILTD","Tourism Finance Corporation of India Limited","INE305A01015","LTASM - I (13)"
210,"THANGAMAYL","Thangamayil Jewellery Limited","INE085J01014","LTASM - I (13)"
211,"THOMASCOOK","Thomas Cook  (India)  Limited","INE332A01027","LTASM - I (13)"
212,"TIMETECHNO","Time Technoplast Limited","INE508G01029","LTASM - I (13)"
213,"TIPSINDLTD","TIPS Industries Limited","INE716B01029","LTASM - I (13)"
214,"TRIL","Transformers And Rectifiers (India) Limited","INE763I01026","LTASM - IV (16)"
215,"URJA","Urja Global Limited","INE550C01020","LTASM - IV (16)"
216,"V2RETAIL","V2 Retail Limited","INE945H01013","LTASM - I (13)"
217,"VERTOZ","Vertoz Advertising Limited","INE188Y01015","LTASM - IV (16)"
218,"VISAKAIND","Visaka Industries Limited","INE392A01021","LTASM - I (13)"
