ticker,price_change
APOLLOTYRE,0.02773
BPCL,0.02778
FUSION,0.02796
FINCABLES,0.02811
ICICIPRULI,0.02811
IDFCFIRSTB,0.02889
LALPATHLAB,0.02907
TATACONSUM,0.02917
BHARTIARTL,0.02923
KOLTEPATIL,0.02927
GPPL,0.0294
HATHWAY,0.0294
HUDCO,0.02943
KIMS,0.02951
ABCAPITAL,0.02956
ICICIGI,0.02962
ERIS,0.0299
CHALET,0.03038
INDUSINDBK,0.03039
PETRONET,0.03054
NAZARA,0.03058
THERMAX,0.03066
FIVESTAR,0.03106
PATANJALI,0.03145
BIKAJI,0.0321
IRB,0.03211
MFSL,0.03222
AMBER,0.03231
CMSINFO,0.03259
ABBOTINDIA,0.03264
GNFC,0.0329
EPL,0.03336
POKARNA,0.03357
MANKIND,0.03365
KFINTECH,0.03385
ESABINDIA,0.03401
ZENSARTECH,0.03539
GRAPHITE,0.03567
NAVNETEDUL,0.03578
FINOPB,0.0358
SUNPHARMA,0.0359
JISLJALEQS,0.03594
MOIL,0.03603
TEJASNET,0.03622
CIEINDIA,0.03662
SUPREMEIND,0.0367
ASTERDM,0.03689
ITC,0.0374
SUNTV,0.0374
TORNTPHARM,0.03816
JBCHEPHARM,0.03822
SPANDANA,0.03846
NATIONALUM,0.0385
HINDZINC,0.03868
CARYSIL,0.03883
SHAREINDIA,0.03895
WABAG,0.03902
SULA,0.03925
ARVIND,0.03932
HINDPETRO,0.03933
BIRLACORPN,0.03937
HAL,0.03964
SOLARINDS,0.04039
ICIL,0.04122
GOKEX,0.04149
HINDWAREAP,0.04153
KPRMILL,0.04168
CARBORUNIV,0.04172
ALKEM,0.04172
LICHSGFIN,0.04204
KEC,0.04206
KSB,0.04227
MANAPPURAM,0.04256
BOSCHLTD,0.04304
RADICO,0.04373
JUSTDIAL,0.04463
ENGINERSIN,0.04489
PERSISTENT,0.0449
MEDPLUS,0.04499
IONEXCHANG,0.04506
ASTRAZEN,0.04522
SOUTHBANK,0.04534
ISEC,0.04563
MUTHOOTFIN,0.04603
SUNDRMFAST,0.04676
DCAL,0.0471
SOBHA,0.04741
CHOLAFIN,0.04805
SBCL,0.04852
BALRAMCHIN,0.04881
RCF,0.0492
RAYMOND,0.04932
GAIL,0.04937
JSWENERGY,0.04971
PCBL,0.04989
ORIENTCEM,0.05042
MEDANTA,0.05056
ZYDUSLIFE,0.05067
DCXINDIA,0.05073
GRANULES,0.05073
PTC,0.05077
CREDITACC,0.05096
PARAS,0.05104
RITES,0.05105
MAHSCOOTER,0.05121
HINDALCO,0.0515
GODFRYPHLP,0.0516
INDIGO,0.05185
DLF,0.05216
