SR. NO ,Symbol,COMPANY NAME ,ISIN ,ESM STAGE
163,VISESHINFO,Visesh Infotecnics Limited,INE861A01058,ESM - I (34)
164,ATALREAL,Atal Realtech Limited,INE0ALR01011,ESM - I (34)
165,VIKASECO,Vikas EcoTech Limited,INE806A01020,ESM - I (34)
166,ANKITMETAL,Ankit Metal & Power Limited,INE106I01010,ESM - I (34)
167,TECILCHEM,TECIL Chemicals and Hydro Power Limited,INE014B01011,ESM I & GSM 0 (36)
168,LCCINFOTEC,LCC Infotech Limited,INE938A01021,ESM - I (34)
169,ELGIRUBCO,Elgi Rubber Company Limited,INE819L01012,ESM - I (34)
170,INDBANK,Indbank Merchant Banking Services Limited,INE841B01017,ESM - I (34)
171,NORBTEAEXP,Norben Tea & Exports Limited,INE369C01017,ESM - II (35)
172,MOKSH,Moksh Ornaments Limited,INE514Y01020,ESM - I (34)
173,TVVISION,TV Vision Limited,INE871L01013,ESM II & GSM 0 (37)
174,SHAHALLOYS,Shah Alloys Limited,INE640C01011,ESM - II (35)
175,SUNDARAM,Sundaram Multi Pap Limited,INE108E01023,ESM - I (34)
176,ARENTERP,Rajdarshan Industries Limited,INE610C01014,ESM - I (34)
177,SGL,Stl Global Limited,INE353H01010,ESM - I (34)
178,VASWANI,VASWANI INDUSTRIES LIMITED,INE590L01019,ESM - I (34)
179,AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,INE523B01011,ESM - I (34)
180,SAKUMA,SAKUMA EXPORTS LIMITED,INE190H01024,ESM - I (34)
181,AIRAN,Airan Limited,INE645W01026,ESM - I (34)
182,BEDMUTHA,Bedmutha Industries Limited,INE844K01012,ESM - II (35)
183,GLOBE,Globe Textiles (India) Limited,INE581X01021,ESM - I (34)
184,ASTRON,Astron Paper & Board Mill Limited,INE646X01014,ESM - I (34)
185,RUCHINFRA,Ruchi Infrastructure Limited,INE413B01023,ESM - II (35)
186,PARSVNATH,Parsvnath Developers Limited,INE561H01026,ESM - I (34)
187,DIACABS,Diamond Power Infrastructure Limited,INE989C01020,ESM - II (35)
188,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,INE234I01010,ESM - II (35)
189,SOFTTECH,Softtech Engineers Limited,INE728Z01015,ESM - I (34)
190,BAIDFIN,Baid Finserv Limited,INE020D01022,ESM - I (34)
191,IL&FSTRANS,IL&FS Transportation Networks Limited,INE975G01012,ESM I & GSM 0 (36)
192,AROGRANITE,ARO GRANITE INDUSTRIES LIMITED,INE210C01013,ESM - I (34)
193,KCPSUGIND,KCP SUGAR AND INDUSTRIES CORPORATION LIMITED,INE790B01024,ESM - II (35)
194,MUKTAARTS,Mukta Arts Limited,INE374B01019,ESM - I (34)
195,NKIND,NK Industries Limited,INE542C01019,ESM II & GSM 0 (37)
196,INCREDIBLE,Incredible Industries Limited,INE452L01012,ESM - I (34)
197,UNIINFO,Uniinfo Telecom Services Limited,INE481Z01011,ESM - I (34)
198,PVP,PVP Ventures Limited,INE362A01016,ESM - I (34)
199,DCMFINSERV,DCM Financial Services Limited,INE891B01012,ESM I & GSM 0 (36)
200,DNAMEDIA,Diligent Media Corporation Limited,INE016M01021,ESM - I (34)
201,PIONEEREMB,Pioneer Embroideries Limited,INE156C01018,ESM - I (34)
202,INDOWIND,Indowind Energy Limited,INE227G01018,ESM - II (35)
203,AUSOMENT,Ausom Enterprise Limited,INE218C01016,ESM - I (34)
204,SUPERSPIN,Super Spinning Mills Limited,INE662A01027,ESM - I (34)
205,LPDC,Landmark Property Development Company Limited,INE197J01017,ESM - I (34)
206,ADROITINFO,Adroit Infotech Limited,INE737B01033,ESM - I (34)
207,KEYFINSERV,Keynote Financial Services Limited,INE681C01015,ESM - I (34)
208,ZENITHSTL,Zenith Steel Pipes & Industries Limited,INE318D01020,ESM - I (34)
209,SIGIND,Signet Industries Limited,INE529F01035,ESM - I (34)
210,GULFPETRO,GP Petroleums Limited,INE586G01017,ESM - I (34)
211,CINEVISTA,Cinevista Limited,INE039B01026,ESM - I (34)
212,PRAENG,Prajay Engineers Syndicate Limited,INE505C01016,ESM - I (34)
213,BPL,BPL LIMITED,INE110A01019,ESM - I (34)
214,ABAN,ABAN OFFSHORE LIMITED,INE421A01028,ESM - I (34)
215,DBSTOCKBRO,DB (INTERNATIONAL) STOCK BROKERS LIMITED,INE921B01025,ESM - I (34)
216,SONAMCLOCK,Sonam Clock Limited,INE00LM01011,ESM - I (34)
217,NEXTMEDIA,Next Mediaworks Limited,INE747B01016,ESM I & GSM 0 (36)
218,MACPOWER,Macpower CNC Machines Limited,INE155Z01011,ESM - I (34)
219,SICALLOG,Sical Logistics Limited,INE075B01020,ESM - I (34)
220,PREMIERPOL,Premier Polyfilm Limited,INE309M01012,ESM - I (34)
221,MURUDCERA,Murudeshwar Ceramics Limited,INE692B01014,ESM - I (34)
222,CELEBRITY,Celebrity Fashions Limited,INE185H01016,ESM - I (34)
223,SOMICONVEY,Somi Conveyor Beltings Limited,INE323J01019,ESM - I (34)
